Nome Jogador,Valor Mercado,ID_Jogador,País de Origem,Posição,Numero_da_Camisa,Data_de_Nascimento,Altura,Pe,No_time_desde,Identifier,Camp,Ano,Time
Kauã Diniz,-,1086631,Brasil,            Volante,-,07/03/2004 (17),-, ,,BRA1_2023,BRA1,2023,América Mineiro
Breno Lemos,-,1085060,Brasil,            Volante,28,25/09/2003 (18),"1,83m",direito,03/04/2023,BRA1_2023,BRA1,2023,América Mineiro
Rafa Barcelos,-,1085182,Brasil,            Volante,70,25/01/2004 (17),-,direito,,BRA1_2023,BRA1,2023,América Mineiro
Yago Santos,-,900203,Brasil,            Meia Central,68,03/04/2003 (18),"1,82m",esquerdo,,BRA1_2023,BRA1,2023,América Mineiro
Martín Benítez,"3,00 mi. €",189418,Argentina,            Meia Ofensivo,10,17/06/1994 (27),"1,75m",direito,01/01/2023,BRA1_2023,BRA1,2023,América Mineiro
Juan Cazares,"2,00 mi. €",146367,Equador,            Meia Ofensivo,80,03/04/1992 (29),"1,71m",direito,22/08/2023,BRA1_2023,BRA1,2023,América Mineiro
Emmanuel Martínez,"1,20 mi. €",360526,Argentina,            Meia Ofensivo,5,04/06/1994 (27),"1,69m",direito,13/08/2022,BRA1_2023,BRA1,2023,América Mineiro
Matheusinho,500 mil €,401533,Brasil,            Meia Ofensivo,7,11/02/1998 (23),"1,64m",direito,09/02/2022,BRA1_2023,BRA1,2023,América Mineiro
Yago Souza,-,1085188,Brasil,            Meia Ofensivo,69,11/02/2006 (15),-, ,,BRA1_2023,BRA1,2023,América Mineiro
Pedrinho,"1,50 mi. €",538978,Brasil,            Ponta Esquerda,29,10/11/1999 (22),"1,76m",direito,03/07/2023,BRA1_2023,BRA1,2023,América Mineiro
Paulinho,"1,20 mi. €",544895,Brasil,            Ponta Esquerda,47,26/06/1998 (23),"1,71m",direito,14/07/2023,BRA1_2023,BRA1,2023,América Mineiro
Everaldo,800 mil €,388397,Brasil,            Ponta Esquerda,37,28/05/1994 (27),"1,72m",direito,01/07/2023,BRA1_2023,BRA1,2023,América Mineiro
Mateus Gonçalves,550 mil €,352890,Brasil,            Ponta Esquerda,27,28/09/1994 (27),"1,72m",direito,01/01/2023,BRA1_2023,BRA1,2023,América Mineiro
Felipe Azevedo,450 mil €,75111,Brasil,            Ponta Esquerda,11,10/01/1987 (34),"1,74m",esquerdo,01/01/2019,BRA1_2023,BRA1,2023,América Mineiro
Adyson,-,977467,Brasil,            Ponta Esquerda,44,22/09/2005 (16),"1,68m",esquerdo,01/01/2023,BRA1_2023,BRA1,2023,América Mineiro
Rodriguinho,-,977463,Brasil,            Ponta Esquerda,75,05/06/2003 (18),"1,70m",esquerdo,01/01/2023,BRA1_2023,BRA1,2023,América Mineiro
Dadá Belmonte,500 mil €,546253,Brasil,            Ponta Direita,-,08/02/1997 (24),"1,72m",direito,01/01/2023,BRA1_2023,BRA1,2023,América Mineiro
Rodrigo Varanda,500 mil €,668237,Brasil,            Ponta Direita,65,11/01/2003 (18),"1,80m",direito,01/01/2024,BRA1_2023,BRA1,2023,América Mineiro
Luan Campos,-,819249,Brasil,            Ponta Direita,-,19/03/2002 (19),"1,78m",direito,01/01/2023,BRA1_2023,BRA1,2023,América Mineiro
Renato Kayzer,"4,00 mi. €",404321,Brasil,            Centroavante,79,17/02/1996 (25),"1,76m",direito,02/08/2023,BRA1_2023,BRA1,2023,América Mineiro
Mikael,"1,80 mi. €",642689,Brasil,            Centroavante,87,28/05/1999 (22),"1,84m",esquerdo,01/02/2023,BRA1_2023,BRA1,2023,América Mineiro
Gonzalo Mastriani,"1,00 mi. €",195882,Uruguai,            Centroavante,17,28/04/1993 (28),"1,82m",esquerdo,10/08/2022,BRA1_2023,BRA1,2023,América Mineiro
Henrique Almeida,500 mil €,103743,Brasil,            Centroavante,19,27/05/1991 (30),"1,77m",direito,19/01/2022,BRA1_2023,BRA1,2023,América Mineiro
Wellington Paulista,400 mil €,51716,Brasil,            Centroavante,9,22/04/1983 (38),"1,80m",direito,28/01/2022,BRA1_2023,BRA1,2023,América Mineiro
Aloísio,200 mil €,55246,China,            Centroavante,99,19/06/1988 (33),"1,70m",direito,31/03/2022,BRA1_2023,BRA1,2023,América Mineiro
Renato Marques,-,985351,Brasil,            Centroavante,78,09/12/2003 (18),"1,80m",direito,01/02/2023,BRA1_2023,BRA1,2023,América Mineiro
Ighor Gabryel,-,902118,Brasil,            Centroavante,91,15/01/2003 (18),"1,76m", ,,BRA1_2023,BRA1,2023,América Mineiro
Santos,"3,00 mi. €",140811,Brasil,            Goleiro,1,17/03/1990 (30),"1,88m",direito,01/01/2010,BRA1_2022,BRA1,2022,Athletico Paranaense
Anderson,200 mil €,598974,Brasil,            Goleiro,98,05/03/1998 (22),"1,90m",esquerdo,01/01/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Bento,50 mil €,691906,Brasil,            Goleiro,-,10/06/1999 (21),"1,90m",direito,01/03/2021,BRA1_2022,BRA1,2022,Athletico Paranaense
Mycael,-,743586,Brasil,            Goleiro,-,12/03/2004 (16),"1,91m",esquerdo,01/01/2023,BRA1_2022,BRA1,2022,Athletico Paranaense
Léo Linck,-,742034,Brasil,            Goleiro,23,03/03/2001 (19),"1,94m",direito,01/01/2023,BRA1_2022,BRA1,2022,Athletico Paranaense
Gabriel Pereira,-,627213,Brasil,            Goleiro,43,02/07/2002 (18),"1,95m",direito,01/01/2023,BRA1_2022,BRA1,2022,Athletico Paranaense
Lucas Halter,"5,00 mi. €",468302,Brasil,            Zagueiro,33,02/05/2000 (20),"1,88m",direito,01/01/2019,BRA1_2022,BRA1,2022,Athletico Paranaense
Dedé,"2,00 mi. €",113094,Brasil,            Zagueiro,3,01/07/1988 (32),"1,92m",direito,01/04/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Thiago Heleno,"1,60 mi. €",45431,Brasil,            Zagueiro,44,17/09/1988 (32),"1,87m",direito,20/01/2017,BRA1_2022,BRA1,2022,Athletico Paranaense
Pedro Henrique,"1,50 mi. €",329720,Brasil,            Zagueiro,34,02/10/1995 (25),"1,88m",direito,20/07/2020,BRA1_2022,BRA1,2022,Athletico Paranaense
Zé Ivaldo,800 mil €,484848,Brasil,            Zagueiro,27,21/02/1997 (23),"1,85m",direito,01/01/2017,BRA1_2022,BRA1,2022,Athletico Paranaense
Nicolás Hernández,775 mil €,643750,Colômbia,            Zagueiro,2,18/01/1998 (22),"1,85m",esquerdo,06/08/2021,BRA1_2022,BRA1,2022,Athletico Paranaense
Luan Patrick,250 mil €,658674,Brasil,            Zagueiro,-,20/01/2002 (18),"1,90m",direito,26/01/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Lucas Fasson,50 mil €,729266,Brasil,            Zagueiro,37,30/05/2001 (19),"1,85m",esquerdo,17/08/2021,BRA1_2022,BRA1,2022,Athletico Paranaense
Edu Ribeiro,25 mil €,371250,Brasil,            Zagueiro,-,16/06/2000 (20),"1,85m",direito,,BRA1_2022,BRA1,2022,Athletico Paranaense
Dourado,-,1036474,Brasil,            Zagueiro,-,17/05/2004 (16),-, ,,BRA1_2022,BRA1,2022,Athletico Paranaense
João Pedro,-,876440,Brasil,            Zagueiro,-,14/03/2003 (17),"1,86m",esquerdo,,BRA1_2022,BRA1,2022,Athletico Paranaense
Vialle,-,880458,Brasil,            Zagueiro,14,19/08/2002 (18),"1,86m",direito,,BRA1_2022,BRA1,2022,Athletico Paranaense
Matheus Felipe,-,882916,Brasil,            Zagueiro,42,09/11/1998 (22),"1,86m",direito,01/01/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Abner,"4,00 mi. €",646402,Brasil,            Lateral Esq.,16,27/05/2000 (20),"1,81m",esquerdo,19/07/2019,BRA1_2022,BRA1,2022,Athletico Paranaense
Léo Derik,-,1052819,Brasil,            Lateral Esq.,-,24/07/2005 (15),"1,66m",esquerdo,,BRA1_2022,BRA1,2022,Athletico Paranaense
Vinicius Kauê,-,658676,Brasil,            Lateral Esq.,-,01/03/2003 (17),"1,81m",esquerdo,01/08/2023,BRA1_2022,BRA1,2022,Athletico Paranaense
Pedro Henrique,-,858712,Brasil,            Lateral Esq.,48,11/07/2002 (18),"1,77m",esquerdo,10/09/2021,BRA1_2022,BRA1,2022,Athletico Paranaense
Khellven,"5,00 mi. €",653348,Brasil,            Lateral Dir.,13,25/02/2001 (19),"1,76m",direito,05/08/2019,BRA1_2022,BRA1,2022,Athletico Paranaense
Marcinho,"2,80 mi. €",432967,Brasil,            Lateral Dir.,5,16/05/1996 (24),"1,80m",direito,16/04/2021,BRA1_2022,BRA1,2022,Athletico Paranaense
Luis Orejuela,"1,70 mi. €",331057,Colômbia,            Lateral Dir.,24,20/08/1995 (25),"1,80m",direito,29/03/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Dani Bolt,50 mil €,735790,Brasil,            Lateral Dir.,-,18/06/1999 (21),"1,83m",direito,,BRA1_2022,BRA1,2022,Athletico Paranaense
Léo Ataíde,-,743830,Brasil,            Lateral Dir.,21,19/01/2004 (16),"1,75m",direito,,BRA1_2022,BRA1,2022,Athletico Paranaense
Fernandinho,"4,00 mi. €",26267,Brasil,            Volante,-,04/05/1985 (35),"1,79m",direito,18/07/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Matheus Fernandes,"3,00 mi. €",351892,Brasil,            Volante,6,30/06/1998 (22),"1,83m",direito,19/01/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Erick,"1,50 mi. €",633212,Brasil,            Volante,26,14/11/1997 (23),"1,76m",direito,01/01/2019,BRA1_2022,BRA1,2022,Athletico Paranaense
Hugo Moura,750 mil €,644157,Brasil,            Volante,-,03/01/1998 (22),"1,77m",direito,18/07/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Pablo Siles,250 mil €,511289,Uruguai,            Volante,25,15/07/1997 (23),"1,75m",direito,01/01/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
João Vitor,-,1056019,Brasil,            Volante,-,23/02/2004 (16),"1,86m",direito,,BRA1_2022,BRA1,2022,Athletico Paranaense
Juninho,-,931565,Brasil,            Volante,-,29/03/2003 (17),"1,80m",esquerdo,,BRA1_2022,BRA1,2022,Athletico Paranaense
Christian,"2,50 mi. €",658678,Brasil,            Meia Central,88,19/12/2000 (20),"1,78m",direito,01/09/2019,BRA1_2022,BRA1,2022,Athletico Paranaense
Léo Cittadini,"2,00 mi. €",187210,Brasil,            Meia Central,18,27/02/1994 (26),"1,79m",esquerdo,14/01/2019,BRA1_2022,BRA1,2022,Athletico Paranaense
Alex Santana,"1,50 mi. €",219835,Brasil,            Meia Central,-,13/05/1995 (25),"1,82m",direito,29/07/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Bryan García,300 mil €,739496,Equador,            Meia Central,30,18/01/2001 (19),"1,75m",direito,08/02/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Pierre,-,802646,Brasil,            Meia Central,-,12/03/2002 (18),"1,81m",esquerdo,,BRA1_2022,BRA1,2022,Athletico Paranaense
Dudu Scheit,-,885232,Brasil,            Meia Central,-,25/02/2001 (19),"1,78m",direito,,BRA1_2022,BRA1,2022,Athletico Paranaense
Murilo Sousa,-,1094386,Brasil,            Meia Central,-,24/01/2005 (15),"1,77m",ambidestro,,BRA1_2022,BRA1,2022,Athletico Paranaense
Vitor Bueno,"1,60 mi. €",390368,Brasil,            Meia Ofensivo,8,05/09/1994 (26),"1,83m",direito,09/02/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
David Terans,900 mil €,261309,Uruguai,            Meia Ofensivo,20,11/08/1994 (26),"1,76m",esquerdo,22/05/2021,BRA1_2022,BRA1,2022,Athletico Paranaense
Bruno Leite,50 mil €,722130,Brasil,            Meia Ofensivo,-,07/04/2000 (20),"1,80m",direito,,BRA1_2022,BRA1,2022,Athletico Paranaense
Pedro Rocha,"2,40 mi. €",362844,Brasil,            Ponta Esquerda,32,01/10/1994 (26),"1,75m",direito,13/08/2021,BRA1_2022,BRA1,2022,Athletico Paranaense
Vitinho,"2,00 mi. €",670965,Brasil,            Ponta Esquerda,-,01/04/1999 (21),"1,80m",direito,01/04/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Agustín Canobbio,575 mil €,457533,Uruguai,            Ponta Esquerda,9,01/10/1998 (22),"1,75m",direito,30/03/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Tomás Cuello,200 mil €,503052,Argentina,            Ponta Esquerda,28,05/03/2000 (20),"1,76m",direito,23/02/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Jajá,50 mil €,739477,Brasil,            Ponta Esquerda,41,15/04/2001 (19),"1,77m",direito,,BRA1_2022,BRA1,2022,Athletico Paranaense
Jader Gentil,-,924533,Brasil,            Ponta Esquerda,-,24/07/2003 (17),"1,73m",direito,01/01/2024,BRA1_2022,BRA1,2022,Athletico Paranaense
John Mercado,-,659804,Equador,            Ponta Esquerda,50,03/06/2002 (18),"1,86m",esquerdo,,BRA1_2022,BRA1,2022,Athletico Paranaense
Marlos,"7,00 mi. €",68778,Ucrânia,            Ponta Direita,10,07/06/1988 (32),"1,74m",esquerdo,02/02/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Carlos Eduardo,"2,80 mi. €",363794,Brasil,            Ponta Direita,11,10/10/1996 (24),"1,73m",direito,14/01/2020,BRA1_2022,BRA1,2022,Athletico Paranaense
Marcelo Cirino,"2,20 mi. €",114514,Brasil,            Ponta Direita,7,22/01/1992 (28),"1,82m",direito,21/03/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Davi Araújo,750 mil €,803432,Brasil,            Ponta Direita,-,20/03/1999 (21),"1,79m",direito,19/01/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Reinaldo,-,646256,Brasil,            Ponta Direita,-,06/06/2001 (19),"1,77m",direito,,BRA1_2022,BRA1,2022,Athletico Paranaense
João Pedro,-,658670,Brasil,            Ponta Direita,22,08/02/2002 (18),"1,70m",esquerdo,,BRA1_2022,BRA1,2022,Athletico Paranaense
Pablo,"3,50 mi. €",148765,Brasil,            Centroavante,92,23/06/1992 (28),"1,85m",direito,09/02/2022,BRA1_2022,BRA1,2022,Athletico Paranaense
Matheus Babi,900 mil €,788861,Brasil,            Centroavante,19,18/07/1997 (23),"1,91m",direito,14/04/2021,BRA1_2022,BRA1,2022,Athletico Paranaense
Jonathan Júnior,800 mil €,599259,Brasil,            Centroavante,-,28/04/1999 (21),"1,73m",direito,,BRA1_2022,BRA1,2022,Athletico Paranaense
